"9","        Food and beverages purchased for off-premises consumption",-3.7,6.3,0.7,4.2,-1.2,2.9,-1.2,0.9,-1.3,0.8,1.7,3.5,3.2,-0.6,6.2,-0.7,4.0,0.3,3.2,4.3,6.3,1.5,3.5,4.8,1.7,3.9,0.9,5.7,0.7,-2.0,0.3,1.7,-2.2,-1.0,-6.4,-5.6,1.5,2.6,2.4,2.4,2.7,-1.8,0.6,3.0,0.1,-0.8,-1.5,-0.5,2.6,2.3,0.5,0.9,1.4,-1.0,3.2,3.1,2.4,0.2,1.7,1.9,2.1,0.8,1.3,0.4,4.3,6.1,2.4,3.4
"10","        Clothing and footwear",6.7,9.0,4.4,3.4,-6.3,2.6,-0.5,7.1,4.6,0.1,-2.3,13.1,-1.4,11.1,9.1,0.9,10.4,-4.6,4.2,8.2,5.5,8.7,-1.1,12.4,2.4,-2.8,4.2,4.3,2.6,-0.3,3.2,-1.5,-3.0,9.1,-9.2,-12.9,-4.4,-6.9,3.8,2.2,9.5,6.0,2.2,10.6,3.7,2.6,-5.5,1.7,5.0,-7.0,6.2,-3.2,4.1,0.2,-1.9,1.2,0.5,9.7,2.5,6.9,1.6,3.5,2.5,-0.3,4.6,1.2,2.5,-4.5
"11","        Gasoline and other energy goods",-14.3,7.0,0.9,-3.2,1.0,-5.8,6.7,0.3,-1.2,3.9,0.1,-2.0,-3.9,1.1,5.8,5.0,-2.1,0.2,-3.1,1.1,3.6,-3.0,-4.3,-0.4,-1.1,1.1,4.6,1.1,-0.7,-4.9,1.3,-1.1,-7.0,-6.1,-10.8,12.4,3.3,-2.3,-1.4,0.7,-5.5,5.1,2.4,-1.9,-5.0,-6.5,0.8,-2.0,-2.6,3.0,-2.5,-4.2,8.3,3.3,-0.1,2.9,-4.4,-1.9,2.6,8.2,10.0,-0.2,5.4,-1.8,5.4,-3.7,-1.9,-3.6
"12","        Other nondurable goods",-4.6,10.1,4.3,6.4,-2.6,3.2,4.6,5.2,4.2,-1.1,1.3,4.6,8.0,4.1,8.7,5.1,0.8,6.4,4.2,3.3,0.8,4.8,3.2,6.5,9.7,-0.6,1.9,8.4,2.4,1.8,1.3,-1.5,-2.2,2.4,-0.6,-5.3,-1.2,-5.3,0.2,0.1,2.1,3.6,1.8,2.3,4.6,0.6,-0.6,0.6,5.2,-2.0,-1.1,2.5,8.7,-1.7,5.2,5.3,2.2,8.0,5.6,4.4,3.1,4.1,7.2,3.0,1.6,3.3,-0.9,-0.4
"13","Services",6.4,5.0,3.8,3.5,2.0,0.9,0.6,1.4,2.3,2.6,1.8,2.7,1.7,2.2,3.0,2.3,3.1,3.1,3.8,3.9,1.9,3.8,4.0,2.3,2.4,2.8,1.9,3.0,2.0,0.6,2.1,1.3,1.9,1.3,-0.2,0.5,-1.4,-1.2,0.7,0.2,1.5,2.1,2.7,1.2,1.6,2.1,2.3,-0.3,2.3,0.9,0.1,1.3,-0.3,0.3,1.0,3.3,1.0,3.0,4.2,4.7,2.8,2.6,2.4,2.0,2.7,2.2,1.9,2.8
"14","    Household consumption expenditures (for services)",6.1,5.1,3.4,3.1,1.9,0.5,0.3,1.1,2.1,2.2,1.1,2.4,1.7,1.9,3.0,2.4,3.0,3.3,3.9,4.3,2.5,3.6,3.9,1.5,2.0,2.4,1.7,3.2,1.9,0.9,2.0,0.6,1.4,0.6,-0.8,-0.3,-1.1,-0.8,0.6,-0.6,1.5,2.0,3.1,1.6,1.3,1.6,1.4,0.2,1.9,0.1,0.0,0.6,0.3,0.3,1.0,3.5,1.2,3.1,4.4,5.2,3.5,2.8,2.1,1.6,3.0,2.4,1.3,2.9
"15","        Housing and utilities",2.1,5.6,3.7,6.7,2.1,-0.4,1.6,-0.4,-1.4,3.1,1.6,2.2,0.4,1.0,0.6,3.0,2.6,2.9,2.6,5.0,4.2,5.1,4.8,1.1,-0.8,4.5,2.7,-1.9,2.4,0.3,1.0,-0.8,3.4,0.5,-1.0,4.4,0.7,0.0,0.7,2.4,0.6,0.2,2.5,2.6,-0.2,1.5,2.8,-1.0,-3.1,3.8,1.1,-2.0,1.9,-0.8,-0.4,3.9,3.7,-1.0,0.2,4.9,4.5,0.2,2.4,0.2,1.7,2.8,2.2,-0.9
"16","        Health care",2.4,5.4,2.7,4.3,5.9,4.6,6.0,6.5,8.1,6.0,3.3,2.3,2.3,1.9,2.8,2.9,2.1,4.9,6.2,4.9,0.9,2.5,4.8,0.6,1.9,2.6,2.1,3.4,1.4,2.1,3.9,1.9,4.2,1.1,1.3,1.1,2.9,4.5,2.5,-1.9,-0.5,3.6,5.9,0.6,1.4,0.3,-1.3,3.8,5.6,-1.3,0.0,1.9,-2.1,2.6,1.0,4.2,-2.2,7.6,7.2,7.9,5.4,3.1,4.9,0.7,5.9,7.5,-3.4,7.2
"17","        Transportation services",5.8,4.8,2.8,1.2,0.2,-2.3,-8.5,-7.7,2.1,-3.4,-0.5,0.6,2.4,-3.2,7.8,2.8,3.9,2.8,1.6,2.3,-0.9,2.0,1.5,-2.8,0.0,1.2,0.8,4.8,2.5,-0.9,-0.9,-1.2,-3.1,-4.9,-6.6,-13.2,-9.3,-6.3,0.2,1.4,1.2,-3.4,3.1,6.6,0.8,11.2,6.0,-0.2,-4.7,9.7,-0.4,0.7,7.4,8.6,3.8,-0.8,10.8,4.2,5.6,1.0,3.7,6.5,1.9,4.7,5.6,0.7,7.1,5.1
"18","        Recreation services",-0.4,3.5,0.6,-0.9,3.2,-4.1,-2.2,-0.3,2.6,0.6,1.0,4.4,-0.9,5.8,7.7,7.6,7.7,0.4,2.5,1.3,4.3,2.9,0.2,4.1,5.0,2.0,2.4,10.6,2.5,1.8,4.8,1.5,-1.0,2.4,-3.6,-3.6,-0.3,-3.4,2.6,1.8,3.8,5.9,4.0,-1.4,-5.2,2.7,1.5,-5.0,5.7,6.3,1.8,5.2,1.2,-3.0,5.3,1.7,4.3,-2.4,6.0,6.0,3.2,3.0,-0.1,12.2,1.8,-2.8,4.3,4.8
"19","        Food services and accommodations",6.7,3.6,1.4,-1.3,3.0,-3.9,-2.2,-0.6,6.5,2.8,0.6,-0.3,3.7,8.4,7.2,4.5,3.6,1.8,3.9,4.1,3.2,5.1,3.1,4.5,6.5,-2.0,2.3,6.7,-1.9,1.4,0.3,4.3,-5.6,2.3,-2.9,-4.9,-6.4,-2.9,-0.3,-0.5,5.2,5.0,2.9,1.5,3.3,3.1,2.2,1.2,3.3,2.2,1.8,3.3,3.8,-4.1,1.4,7.1,0.9,5.2,4.6,6.0,3.4,5.5,1.3,3.9,1.9,0.9,1.2,1.6
"20","        Financial services and insurance",22.8,1.0,2.4,1.6,-7.2,-4.8,-6.0,2.8,-1.4,-0.3,2.0,1.3,-1.4,1.7,1.1,-0.4,6.3,2.1,5.5,10.1,3.5,5.5,6.1,0.8,3.8,-0.8,0.2,4.6,3.5,2.5,5.4,0.5,2.3,2.8,0.5,-0.4,-1.9,-2.9,-5.6,-5.3,3.7,4.0,1.2,4.5,2.9,0.5,5.4,-2.2,1.5,-7.4,-3.1,-2.9,3.9,0.4,-2.5,2.1,-2.5,1.1,4.7,1.5,5.1,2.6,-3.2,-0.3,-5.5,-4.0,2.0,-0.5
"21","        Other services",8.9,9.6,7.8,1.1,3.7,7.8,0.6,-0.5,-0.2,-1.0,-3.0,5.5,5.3,0.3,3.5,-1.2,0.1,5.5,2.8,-0.7,1.1,0.6,2.0,3.5,2.7,4.6,-0.3,6.6,2.8,-1.5,-1.3,-1.4,-0.7,-2.3,0.0,-2.8,-4.8,-5.7,2.0,-2.2,1.8,-0.8,0.5,-1.3,4.5,0.2,-1.6,-0.3,6.0,-5.8,-2.0,3.0,-6.7,0.1,4.1,2.9,1.0,5.8,6.5,5.1,-3.6,4.6,2.3,0.5,8.7,2.1,4.8,6.0
"22","    Final consumption expenditures of nonprofit institutions serving households (NPISHs)1",14.4,2.1,16.4,12.8,2.4,9.1,7.4,9.0,7.8,12.2,17.7,10.2,2.4,9.4,3.0,-0.8,5.0,-1.6,2.3,-6.4,-11.5,10.3,4.7,24.2,14.7,13.1,6.2,-1.9,2.5,-5.2,6.2,22.2,14.6,19.5,13.5,19.8,-8.0,-9.3,4.1,17.6,2.2,4.7,-5.5,-6.3,8.2,14.2,22.0,-10.5,11.4,20.7,3.0,15.3,-11.9,0.2,1.9,-1.1,-1.5,2.9,1.0,-6.7,-10.8,-0.4,9.9,10.1,-2.7,-2.9,16.6,-1.0
"23","        Gross output of nonprofit institutions2",3.5,3.9,4.5,5.2,4.5,4.3,5.6,5.9,7.1,6.8,5.4,2.0,1.2,2.1,1.2,0.7,2.4,3.0,5.9,2.9,-1.8,3.3,4.9,4.0,4.0,3.9,2.8,2.0,3.1,0.3,2.3,4.3,5.6,3.5,3.8,3.5,1.0,2.5,3.1,1.3,0.0,3.5,4.4,-0.2,1.3,3.6,0.9,1.8,8.7,-0.5,5.4,0.8,-2.9,2.2,0.3,3.3,-5.0,6.8,5.2,4.6,0.5,0.4,1.2,4.5,3.5,6.0,2.8,4.1
"24","        Less: Receipts from sales of goods and services by nonprofit institutions3",0.1,4.5,0.8,2.6,5.3,2.7,4.9,4.8,6.9,4.9,1.2,-0.8,0.8,-0.5,0.6,1.3,1.5,4.7,7.2,6.2,1.5,1.1,5.0,-1.8,0.7,0.9,1.6,3.4,3.3,2.3,1.1,-1.2,2.6,-1.8,0.3,-2.3,4.7,7.2,2.8,-4.0,-0.8,3.1,8.2,2.0,-1.0,0.1,-5.9,6.8,7.7,-7.5,6.3,-4.3,0.8,3.0,-0.3,5.0,-6.3,8.4,6.9,9.3,5.0,0.6,-1.7,2.5,6.0,9.5,-1.9,6.1
"","Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"25","    PCE excluding food and energy4",8.2,3.2,4.4,3.1,2.2,1.7,1.5,7.1,1.8,1.5,2.9,2.1,2.2,5.3,6.4,2.9,3.8,2.8,5.1,4.4,2.1,5.1,4.1,1.4,5.8,1.4,2.3,4.6,2.1,1.2,2.5,1.6,-1.1,1.3,-1.8,-4.9,-1.3,-1.9,3.1,-1.2,2.2,3.9,2.8,2.7,2.7,1.5,1.6,1.3,4.4,-0.4,0.6,2.6,1.5,0.5,1.9,3.1,1.4,5.8,5.2,4.7,2.9,4.1,3.2,2.4,3.0,2.6,2.5,3.0
"26","    Energy goods and services5",-10.2,14.9,2.6,9.8,-4.6,-14.3,4.1,-2.6,-5.1,17.3,5.0,4.1,-5.7,-0.4,-1.4,6.4,0.4,0.8,-4.6,4.4,1.7,1.3,1.6,-5.8,-10.1,9.5,7.4,-7.7,6.9,-3.3,1.4,-6.8,0.4,-6.6,-13.0,17.9,1.6,-3.7,-1.6,6.0,-2.4,0.5,6.3,2.0,-9.8,-5.3,5.2,-5.8,-12.3,14.2,2.0,-8.5,12.6,-1.0,-4.2,9.8,3.8,-9.7,-4.5,13.9,13.9,-9.5,4.0,-7.8,3.5,5.0,4.0,-10.2
"27","    Market-based PCE6",5.2,4.0,3.5,3.8,1.8,0.5,1.7,6.5,1.2,2.4,3.2,1.5,1.5,5.0,6.3,3.2,3.4,2.4,4.3,4.6,2.7,4.6,3.7,0.5,4.2,2.0,2.7,3.9,2.7,0.9,2.1,0.9,-1.8,0.1,-3.8,-5.0,-0.6,-0.9,3.5,-0.7,1.8,3.1,2.6,3.0,1.6,0.5,0.8,1.0,2.5,1.2,0.4,1.9,2.8,0.6,1.9,3.8,2.2,4.5,4.3,5.5,3.7,3.3,3.4,1.5,3.7,3.6,1.9,2.7
"28","    Market-based PCE excluding food and energy6",7.2,3.2,3.9,3.4,2.6,1.3,1.8,7.7,1.8,1.8,3.3,1.1,1.8,5.9,6.8,3.4,3.6,2.7,5.0,4.6,2.4,5.1,3.9,0.6,5.6,1.2,2.5,4.7,2.6,1.5,2.4,1.5,-1.9,0.8,-2.6,-6.6,-1.0,-1.0,3.9,-1.5,2.0,3.8,2.6,3.1,2.7,1.1,0.7,1.7,3.8,0.1,0.3,2.9,2.2,0.9,2.2,3.4,2.1,6.1,5.3,5.4,3.3,4.4,3.6,2.2,3.7,3.3,1.8,3.4
"Legend / Footnotes:"
"1. Net expenses of NPISHs, defined as their gross operating expenses less primary sales to households."
"2. Gross output is net of unrelated sales, secondary sales, and sales to business, to government, and to the rest of the world; excludes own-account investment (construction and software)."
"3. Excludes unrelated sales, secondary sales, and sales to business, to government, and to the rest of the world; includes membership dues and fees."
"4. Food consists of food and beverages purchased for off-premises consumption; food services, which include purchased meals and beverages, are not classified as food."
"5. Consists of gasoline and other energy goods and of electricity and gas services."
"6. Market-based PCE is a supplemental measure that is based on household expenditures for which there are observable price measures.It excludes most imputed transactions (for example, financial services furnished without payment) and the final consumption expenditures of nonprofit institutions serving households."
