"9","    Proprietors' income with inventory valuation and capital consumption adjustments",720.9,751.3,760.8,782.4,809.8,827.7,845.6,840.9,859.7,863.7,872.4,883.2,874.9,891.5,905.0,916.2,945.7,962.1,963.2,977.1,956.6,963.4,986.8,1005.4,1048.1,1050.9,1047.7,1051.9,1016.2,995.9,985.1,978.9,964.7,968.6,958.2,952.2,914.3,902.3,935.3,1002.2,1056.9,1104.0,1129.4,1144.4,1181.0,1212.2,1253.5,1270.4,1322.8,1356.5,1345.8,1364.2,1388.3,1411.8,1412.5,1401.7,1413.4,1452.7,1468.3,1456.6,1432.9,1406.3,1425.9,1423.7,1415.2,1410.2,1429.5,1440.0
"10","        Farm",27.1,33.4,31.9,33.7,34.0,32.5,32.6,29.2,17.9,12.8,21.3,27.7,28.4,36.4,39.4,41.6,55.4,54.3,46.1,50.2,47.1,50.4,48.2,41.4,33.8,32.7,32.4,33.3,41.8,36.6,37.2,45.4,48.6,45.5,35.5,31.2,24.0,24.4,27.4,36.5,31.5,35.3,41.3,47.8,66.8,61.2,66.4,65.1,60.9,59.0,60.3,63.4,94.1,95.3,94.3,69.6,68.3,79.0,66.1,65.9,54.0,55.7,58.9,55.5,36.5,38.3,36.5,31.2
"11","        Nonfarm",693.9,717.9,728.9,748.7,775.7,795.2,813.0,811.7,841.8,850.9,851.2,855.5,846.4,855.1,865.5,874.5,890.3,907.8,917.1,926.8,909.5,913.0,938.5,963.9,1014.2,1018.2,1015.3,1018.5,974.4,959.3,947.9,933.5,916.1,923.1,922.8,921.0,890.3,878.0,907.9,965.7,1025.4,1068.7,1088.2,1096.7,1114.2,1151.0,1187.1,1205.3,1261.9,1297.5,1285.5,1300.8,1294.2,1316.5,1318.2,1332.0,1345.1,1373.6,1402.2,1390.7,1378.9,1350.5,1367.0,1368.2,1378.7,1371.9,1393.0,1408.9
"12","    Rental income of persons with capital consumption adjustment",179.8,180.2,182.9,191.0,197.1,202.6,204.8,205.1,209.1,211.0,210.4,213.6,223.0,227.7,232.0,243.3,247.5,252.1,248.5,247.4,240.1,237.3,225.6,225.0,216.7,206.3,199.5,186.8,174.2,183.8,187.5,191.9,220.5,245.0,268.1,293.0,303.4,318.4,338.5,349.0,371.8,387.9,399.5,417.6,453.4,471.6,485.0,504.6,509.9,517.5,520.5,524.0,537.9,550.2,564.6,575.2,588.4,599.2,609.9,621.0,623.1,647.7,658.1,663.5,669.9,680.2,683.6,692.1
"13","    Personal income receipts on assets",1445.8,1482.3,1506.0,1508.9,1503.0,1487.3,1465.2,1439.3,1411.0,1414.1,1396.0,1414.4,1442.7,1424.2,1434.0,1447.7,1454.8,1478.0,1492.3,1623.4,1584.8,1652.1,1677.6,1798.2,1869.5,1953.9,1989.3,2021.6,2088.5,2198.8,2218.6,2229.5,2255.6,2212.0,2217.0,2118.9,1962.2,1888.7,1805.8,1752.3,1750.3,1764.0,1776.5,1838.5,1903.8,1930.2,1947.3,2022.3,2097.0,2151.7,2086.7,2327.1,2030.5,2041.1,2082.0,2111.6,2190.1,2285.3,2350.1,2383.4,2405.4,2485.8,2512.7,2479.3,2490.6,2505.3,2529.4,2560.2
"14","        Personal interest income",1071.3,1096.6,1116.9,1124.1,1129.9,1120.1,1099.4,1067.8,1025.5,1016.6,993.8,1004.4,1033.1,1013.2,999.4,974.4,941.3,936.9,945.6,977.9,1030.8,1083.4,1103.7,1183.9,1185.1,1238.7,1257.6,1261.7,1310.1,1379.8,1388.8,1395.7,1391.6,1385.7,1420.4,1387.4,1296.9,1327.1,1301.0,1272.0,1246.4,1240.4,1222.1,1245.0,1267.7,1269.8,1250.4,1289.5,1341.6,1365.3,1290.2,1325.1,1273.4,1261.0,1272.4,1285.2,1315.6,1340.8,1365.2,1374.5,1357.7,1461.8,1488.5,1443.5,1447.1,1449.1,1457.9,1475.6
"15","        Personal dividend income",374.4,385.7,389.1,384.8,373.0,367.2,365.8,371.4,385.5,397.5,402.2,410.0,409.6,411.1,434.5,473.4,513.5,541.0,546.7,645.5,554.1,568.7,573.9,614.3,684.4,715.2,731.7,759.9,778.4,819.0,829.8,833.8,864.0,826.3,796.7,731.5,665.3,561.6,504.8,480.3,503.9,523.6,554.4,593.5,636.1,660.3,696.8,732.8,755.4,786.5,796.6,1002.0,757.1,780.1,809.7,826.4,874.5,944.5,984.9,1008.9,1047.6,1023.9,1024.2,1035.8,1043.5,1056.2,1071.5,1084.7
"16","    Personal current transfer receipts",1056.7,1083.7,1098.0,1110.8,1155.6,1187.4,1192.2,1235.2,1260.0,1282.3,1292.1,1306.4,1324.2,1340.6,1361.0,1363.2,1397.1,1416.0,1425.5,1446.3,1488.1,1512.6,1528.3,1537.9,1588.3,1602.8,1628.3,1635.9,1706.7,1710.4,1732.7,1762.7,1802.9,2148.4,1941.4,1927.8,2039.7,2178.6,2176.3,2192.3,2303.2,2311.1,2336.1,2350.1,2361.8,2361.6,2352.1,2359.3,2340.4,2362.8,2364.7,2384.2,2403.5,2416.2,2434.5,2443.2,2474.1,2526.8,2568.2,2597.1,2642.8,2679.2,2696.4,2714.7,2743.7,2765.5,2783.7,2803.8
"17","        Government social benefits to persons",1016.9,1042.3,1054.7,1065.6,1107.8,1139.1,1145.2,1191.2,1221.0,1247.1,1259.9,1276.2,1294.6,1312.6,1335.5,1341.2,1379.6,1400.6,1409.8,1427.9,1464.4,1486.0,1501.0,1512.3,1566.7,1583.2,1608.5,1613.8,1680.2,1680.4,1700.2,1728.6,1768.2,2113.0,1905.3,1890.8,2001.9,2140.0,2136.9,2152.1,2262.2,2268.7,2292.0,2302.7,2313.0,2312.1,2303.2,2312.2,2296.8,2321.8,2325.6,2346.1,2365.7,2378.3,2396.0,2403.7,2433.2,2484.5,2524.6,2552.1,2596.5,2630.8,2645.0,2659.7,2684.2,2704.2,2723.2,2746.6
"18","            Social security2",392.5,404.7,403.9,404.5,420.8,422.7,428.4,428.5,442.9,445.5,448.1,451.2,458.1,463.1,464.8,468.1,479.7,484.8,486.2,491.4,506.5,512.9,514.0,517.5,538.0,543.7,546.1,548.6,568.3,575.0,578.2,581.1,597.3,602.9,608.9,613.1,651.9,662.4,667.9,675.7,678.9,689.3,693.6,699.0,703.1,712.0,716.0,721.8,753.2,759.4,765.1,770.8,790.0,795.2,802.3,808.6,824.8,831.7,836.5,845.6,861.7,867.9,873.8,883.8,885.8,892.9,899.1,908.2
"19","            Medicare3",213.0,216.1,220.7,226.7,233.8,240.4,245.8,250.3,254.1,257.9,261.6,265.2,268.9,273.4,279.0,285.5,293.0,300.4,308.6,315.4,323.2,329.2,335.1,341.0,389.6,395.6,402.1,409.1,416.4,424.1,432.0,440.3,448.8,457.3,465.9,474.5,482.9,490.4,496.7,501.8,506.0,510.5,515.7,521.4,527.6,533.4,538.5,542.9,547.0,551.6,557.1,563.4,570.3,567.1,573.7,580.2,587.5,595.6,604.0,612.8,621.8,630.1,637.6,644.4,650.5,656.7,663.3,670.3
"20","            Medicaid",190.2,198.3,204.8,204.8,215.0,230.1,217.4,246.5,244.9,243.8,251.1,260.3,260.7,260.1,271.7,265.7,283.4,293.0,288.3,294.5,301.3,310.8,300.1,305.4,291.3,294.9,308.7,301.4,332.5,314.7,319.6,329.9,331.6,339.2,340.8,341.8,358.4,368.9,378.2,372.8,382.1,385.7,405.6,414.1,418.8,409.7,396.4,399.3,400.6,421.7,419.0,428.9,424.8,438.4,448.2,448.6,459.5,481.5,507.2,515.3,523.6,537.9,540.4,541.7,550.2,558.6,566.5,575.6
"21","            Unemployment insurance",20.5,20.0,20.6,21.9,25.5,28.4,33.1,40.6,42.8,60.5,56.9,53.7,51.8,55.2,54.2,51.5,42.3,35.9,34.7,32.9,32.1,30.9,31.6,32.5,30.3,29.5,30.6,31.1,32.3,31.8,32.8,34.0,36.3,38.2,58.2,71.9,101.6,130.3,144.4,148.6,159.3,141.2,131.0,123.9,116.7,109.3,102.9,99.8,94.6,86.3,78.4,75.1,69.0,64.8,59.1,57.1,39.0,35.8,34.0,33.0,32.8,31.9,32.0,31.8,32.3,31.9,31.6,30.8
"22","            Veterans' benefits",25.1,24.9,24.9,25.1,26.0,26.3,26.4,27.6,28.6,29.3,29.9,30.4,31.2,31.7,32.2,32.2,33.3,33.7,34.4,34.8,36.0,36.2,36.6,36.8,38.2,38.7,39.1,39.5,40.5,41.7,41.9,42.6,44.0,44.7,45.5,45.9,49.6,50.4,52.1,54.1,55.9,57.2,58.9,59.9,61.6,62.4,64.6,64.5,67.2,69.0,71.3,72.9,76.5,78.4,80.5,80.9,81.4,83.3,85.0,87.0,90.1,92.3,93.6,94.2,94.2,94.8,96.3,98.3
"23","            Other",175.6,178.3,179.9,182.7,186.6,191.3,194.1,197.7,207.6,210.1,212.3,215.4,224.0,229.0,233.7,238.2,248.0,252.7,257.7,258.8,265.4,266.0,283.6,279.0,279.3,280.8,281.8,284.0,290.2,293.0,295.6,300.8,310.3,630.8,386.0,343.7,357.5,437.5,397.6,399.2,480.0,484.9,487.3,484.4,485.2,485.4,484.8,484.0,434.2,433.9,434.6,435.0,435.2,434.3,432.2,428.2,441.0,456.7,457.9,458.4,466.4,470.7,467.5,463.9,471.3,469.3,466.4,463.4
"24","        Other current transfer receipts, from business (net)",39.8,41.5,43.3,45.2,47.9,48.3,47.0,43.9,39.1,35.2,32.3,30.2,29.6,28.0,25.5,22.0,17.5,15.4,15.7,18.4,23.7,26.7,27.3,25.6,21.6,19.7,19.9,22.1,26.5,30.0,32.5,34.1,34.7,35.4,36.1,36.9,37.8,38.6,39.4,40.2,41.0,42.4,44.1,47.4,48.8,49.5,48.9,47.0,43.5,41.0,39.1,38.1,37.8,37.9,38.5,39.5,40.9,42.2,43.6,45.0,46.3,48.4,51.3,55.0,59.5,61.3,60.6,57.2
"25","    Less: Contributions for government social insurance, domestic",696.0,698.4,711.6,717.3,732.3,733.1,732.4,735.0,743.1,751.5,754.3,757.0,763.3,773.9,783.8,796.1,809.2,823.6,839.2,844.9,858.1,866.3,879.5,889.5,913.2,918.1,922.6,936.2,955.7,957.3,960.6,972.1,984.0,986.2,991.5,991.7,959.8,966.3,963.8,967.2,973.6,984.5,987.4,989.5,911.8,914.5,922.9,917.4,940.3,944.7,947.6,969.4,1090.6,1103.1,1106.3,1117.2,1139.8,1144.5,1156.1,1173.8,1188.9,1201.1,1210.6,1218.2,1225.3,1232.4,1244.0,1258.0
"26","Less: Personal current taxes",1208.8,1230.2,1247.7,1258.7,1301.9,1308.9,1113.6,1231.8,1075.1,1051.0,1044.1,1038.4,1021.3,1020.8,950.6,1021.3,1012.2,1026.7,1064.3,1091.5,1172.2,1196.3,1225.4,1255.7,1320.3,1351.0,1358.5,1397.3,1466.3,1495.6,1498.6,1508.3,1534.8,1552.1,1497.2,1444.6,1202.1,1130.8,1135.0,1140.4,1191.5,1212.9,1255.9,1288.8,1426.1,1445.4,1470.9,1470.4,1467.8,1487.1,1509.5,1571.4,1649.3,1681.9,1674.5,1697.7,1744.4,1757.8,1797.9,1835.8,1904.0,1940.8,1946.7,1959.6,1922.0,1945.3,1969.6,1987.4
"27","Equals: Disposable personal income",7248.5,7361.6,7493.3,7561.7,7682.1,7704.7,7887.2,7792.3,7982.7,8097.9,8130.3,8216.4,8293.8,8397.0,8591.6,8653.7,8765.7,8926.9,9030.4,9222.5,9166.3,9308.9,9436.3,9631.9,9869.2,9973.0,10070.9,10186.6,10370.4,10481.3,10549.8,10660.8,10780.2,11090.5,10970.0,10899.4,10787.5,10952.4,10903.4,10984.9,11084.4,11279.7,11380.1,11513.1,11732.1,11821.9,11931.1,12009.2,12317.9,12459.7,12406.0,12821.2,12351.9,12453.1,12557.5,12658.5,12894.9,13133.0,13322.0,13481.0,13574.6,13744.2,13884.3,13916.8,14015.6,14083.7,14205.9,14355.2
"28","Less: Personal outlays",6892.1,6995.9,7119.9,7224.0,7298.0,7347.0,7376.2,7478.6,7507.2,7593.0,7678.3,7753.9,7841.5,7929.4,8090.9,8188.3,8328.7,8439.3,8576.7,8745.7,8839.9,9015.1,9199.8,9301.6,9451.7,9582.5,9718.5,9804.5,9951.9,10065.1,10177.4,10301.3,10357.7,10469.9,10497.9,10234.8,10155.4,10158.6,10293.5,10354.6,10434.4,10518.3,10605.8,10735.3,10866.5,10994.3,11087.8,11146.4,11309.1,11353.5,11398.0,11513.9,11608.6,11625.5,11716.7,11864.9,11976.2,12164.8,12332.5,12474.3,12526.6,12692.8,12827.6,12877.9,12977.5,13138.6,13280.4,13428.6
"29","    Personal consumption expenditures",6613.6,6707.5,6815.4,6912.1,6986.9,7036.3,7064.7,7174.7,7209.9,7302.1,7390.9,7467.7,7555.8,7642.6,7802.6,7891.5,8027.7,8133.0,8264.3,8425.6,8523.0,8671.4,8849.2,8944.9,9090.7,9210.2,9333.0,9407.5,9549.4,9644.7,9753.8,9877.8,9934.3,10052.8,10081.0,9837.3,9756.1,9760.2,9895.4,9957.1,10040.5,10131.8,10220.6,10350.5,10485.4,10612.1,10705.4,10761.6,10922.4,10964.9,11014.2,11125.7,11223.2,11239.6,11330.9,11475.1,11574.2,11756.9,11915.4,12044.5,12091.6,12248.0,12376.2,12421.3,12523.5,12688.3,12822.4,12959.8
"30","    Personal interest payments4",201.1,208.3,222.3,227.7,224.0,222.7,220.5,213.0,204.0,197.1,192.1,189.4,189.0,190.2,191.3,193.1,195.4,198.5,203.5,211.6,220.5,228.4,234.6,238.7,249.2,250.5,262.2,271.8,271.8,288.3,289.7,288.5,279.0,270.6,269.8,255.8,254.6,254.1,254.1,253.4,248.8,244.4,240.5,237.5,233.4,232.2,231.3,231.4,231.9,232.7,233.0,232.1,230.5,228.9,228.5,230.2,236.5,239.3,244.6,254.7,255.8,262.2,267.1,271.4,267.4,271.1,275.5,281.0
"31","    Personal current transfer payments",77.5,80.1,82.2,84.2,87.1,88.1,91.0,90.9,93.2,93.8,95.2,96.8,96.8,96.6,97.0,103.7,105.6,107.8,108.9,108.6,96.5,115.3,116.0,118.1,111.8,121.8,123.3,125.2,130.6,132.1,133.9,135.1,144.5,146.5,147.2,141.7,144.8,144.4,144.0,144.2,145.1,142.1,144.8,147.3,147.7,150.0,151.1,153.5,154.8,156.0,150.7,156.0,154.9,157.0,157.2,159.5,165.5,168.6,172.5,175.0,179.2,182.5,184.3,185.2,186.6,179.3,182.5,187.9
"32","        To government",46.9,48.1,49.3,50.6,51.5,52.5,53.4,54.3,55.2,56.0,56.8,57.6,58.5,59.7,61.1,62.7,64.8,66.4,67.7,68.7,70.3,71.2,72.1,73.0,74.4,74.9,75.5,76.3,78.0,78.8,79.6,80.3,80.5,81.0,81.2,81.2,80.6,80.3,79.9,79.5,79.5,79.3,79.3,79.5,80.4,81.5,82.7,84.1,85.2,86.3,86.9,86.8,86.6,86.8,87.5,88.9,90.9,92.6,94.2,95.7,98.9,99.8,100.5,100.7,101.9,101.9,102.0,102.1
"33","        To the rest of the world (net)",30.6,32.0,32.9,33.6,35.6,35.6,37.6,36.6,38.0,37.8,38.4,39.2,38.3,36.9,35.9,41.0,40.7,41.4,41.2,39.8,26.2,44.2,44.0,45.1,37.4,46.9,47.7,48.9,52.6,53.3,54.3,54.8,63.9,65.5,66.0,60.5,64.2,64.1,64.1,64.7,65.6,62.8,65.5,67.8,67.3,68.5,68.5,69.3,69.6,69.7,63.8,69.2,68.3,70.2,69.6,70.6,74.6,75.9,78.3,79.4,80.3,82.7,83.9,84.4,84.7,77.4,80.5,85.8
"34","Equals: Personal saving",356.3,365.7,373.3,337.7,384.1,357.7,511.0,313.7,475.5,504.8,452.0,462.5,452.2,467.6,500.8,465.4,437.0,487.6,453.7,476.8,326.3,293.8,236.4,330.2,417.5,390.4,352.4,382.1,418.6,416.2,372.4,359.4,422.4,620.6,472.0,664.7,632.1,793.8,609.8,630.3,650.0,761.4,774.2,777.8,865.7,827.7,843.3,862.7,1008.9,1106.1,1008.0,1307.3,743.2,827.7,840.9,793.6,918.6,968.2,989.5,1006.7,1048.0,1051.5,1056.7,1038.9,1038.1,945.1,925.5,926.5
"35","    Personal saving as a percentage of disposable personal income",4.9,5.0,5.0,4.5,5.0,4.6,6.5,4.0,6.0,6.2,5.6,5.6,5.5,5.6,5.8,5.4,5.0,5.5,5.0,5.2,3.6,3.2,2.5,3.4,4.2,3.9,3.5,3.8,4.0,4.0,3.5,3.4,3.9,5.6,4.3,6.1,5.9,7.2,5.6,5.7,5.9,6.8,6.8,6.8,7.4,7.0,7.1,7.2,8.2,8.9,8.1,10.2,6.0,6.6,6.7,6.3,7.1,7.4,7.4,7.5,7.7,7.7,7.6,7.5,7.4,6.7,6.5,6.5
"","Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"36","    Personal income excluding current transfer receipts, billions of chained (2012) dollars5",9534.5,9629.8,9742.4,9773.2,9856.7,9807.9,9780.1,9749.4,9742.5,9754.3,9726.2,9762.7,9746.1,9848.9,9914.6,10026.9,10026.9,10145.0,10249.8,10395.8,10316.7,10419.8,10471.1,10635.9,10866.8,10914.7,10925.5,11108.1,11205.5,11265.2,11255.6,11244.0,11263.6,11129.8,11048.8,11100.4,10667.5,10571.4,10453.8,10448.3,10454.3,10661.3,10766.2,10859.2,11120.1,11123.1,11215.8,11248.7,11498.6,11610.1,11543.7,11934.1,11485.1,11596.4,11627.3,11693.5,11885.4,12022.2,12172.0,12350.6,12517.9,12621.4,12710.6,12747.3,12773.2,12764.9,12834.8,12917.8
"","    Disposable personal income:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"37","        Total, billions of chained (2012) dollars5",9338.7,9442.0,9551.6,9585.7,9672.6,9655.7,9878.5,9753.7,9973.5,10041.1,10032.3,10091.9,10115.6,10238.9,10411.9,10439.3,10487.4,10607.6,10676.9,10811.7,10684.9,10786.5,10818.3,10956.9,11170.1,11197.4,11226.4,11374.5,11471.4,11500.8,11511.0,11518.8,11550.8,11762.2,11515.0,11615.3,11565.5,11689.8,11557.6,11554.8,11619.8,11811.2,11895.3,11962.0,12083.9,12057.6,12110.2,12147.9,12375.3,12487.8,12398.4,12741.9,12231.9,12323.0,12376.3,12425.2,12598.3,12769.9,12919.0,13089.7,13238.4,13338.0,13436.0,13478.6,13568.7,13554.3,13615.0,13696.7
"","        Per capita:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"38","            Current dollars",25767,26105,26500,26671,27034,27050,27618,27216,27820,28159,28201,28430,28638,28930,29527,29670,29995,30480,30757,31333,31077,31493,31843,32421,33147,33421,33662,33961,34498,34789,34926,35204,35520,36463,35979,35664,35226,35691,35450,35632,35883,36450,36702,37059,37702,37929,38205,38382,39306,39695,39448,40691,39145,39406,39661,39901,40581,41261,41772,42186,42413,42873,43226,43243,43479,43620,43917,44299
"39","            Chained (2012) dollars",33198,33482,33779,33810,34038,33899,34591,34067,34759,34916,34798,34919,34929,35276,35783,35792,35887,36219,36365,36733,36225,36491,36506,36881,37517,37524,37524,37922,38161,38173,38108,38037,38060,38671,37766,38006,37767,38094,37577,37481,37616,38167,38364,38503,38833,38685,38778,38825,39489,39784,39424,40439,38765,38995,39088,39166,39647,40121,40508,40962,41362,41606,41830,41881,42093,41980,42090,42267
"40","    Population (midperiod, thousands)",281304,282002,282769,283518,284169,284838,285584,286311,286935,287574,288303,289007,289609,290253,290974,291669,292237,292875,293603,294334,294957,295588,296340,297086,297736,298408,299180,299946,300609,301284,302062,302829,303494,304160,304902,305616,306237,306866,307573,308285,308901,309460,310062,310675,311176,311684,312293,312887,313385,313888,314488,315085,315539,316020,316626,317244,317760,318287,318921,319557,320058,320578,321205,321831,322354,322871,323473,324048
"","    Percent change from preceding period:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"41","        Disposable personal income, current dollars",11.5,6.4,7.3,3.7,6.5,1.2,9.8,-4.7,10.1,5.9,1.6,4.3,3.8,5.1,9.6,2.9,5.3,7.6,4.7,8.8,-2.4,6.4,5.6,8.6,10.2,4.3,4.0,4.7,7.4,4.3,2.6,4.3,4.6,12.0,-4.3,-2.5,-4.0,6.3,-1.8,3.0,3.7,7.2,3.6,4.8,7.8,3.1,3.7,2.6,10.7,4.7,-1.7,14.1,-13.9,3.3,3.4,3.3,7.7,7.6,5.9,4.9,2.8,5.1,4.1,0.9,2.9,2.0,3.5,4.3
"42","        Disposable personal income, chained (2012) dollars",7.9,4.5,4.7,1.4,3.7,-0.7,9.6,-5.0,9.3,2.7,-0.3,2.4,0.9,5.0,6.9,1.1,1.9,4.7,2.6,5.1,-4.6,3.9,1.2,5.2,8.0,1.0,1.0,5.4,3.5,1.0,0.4,0.3,1.1,7.5,-8.1,3.5,-1.7,4.4,-4.4,-0.1,2.3,6.8,2.9,2.3,4.1,-0.9,1.8,1.2,7.7,3.7,-2.8,11.6,-15.1,3.0,1.7,1.6,5.7,5.6,4.8,5.4,4.6,3.0,3.0,1.3,2.7,-0.4,1.8,2.4
"Legend / Footnotes:"
